,CRSHDATE,CRSHTIME,LATDECDG,LONDECDG,ANMLTY01,ANMLTY07,countyname,year,Road
73,2017-01-04,2100,43.678664894,-91.10451301,Coyote,,Vernon,2017,CTH K - Vernon
129,2017-01-02,2002,43.319891803,-88.73409133,Coyote,,Dodge,2017,State Highway026
146,2017-01-07,502,43.004241767,-89.48671933,Coyote,,Dane,2017,US Highway018
284,2017-01-07,1832,43.717771016,-87.78890987,Coyote,,Sheboygan,2017,State Highway028
469,2017-01-09,1852,43.903819635,-87.9949751,Coyote,,Manitowoc,2017,State Highway032
605,2017-01-05,1020,44.195873052,-90.64646128,Coyote,,Jackson,2017,Interstate094
630,2017-01-18,1910,43.036314677,-89.19991014,Coyote,,Dane,2017,CTH N - Dane
657,2017-01-20,2019,42.810856844,-87.95129793,Coyote,,Racine,2017,Interstate041
688,2017-01-22,2005,43.294071375,-87.97251929,Coyote,,Ozaukee,2017,CTH T - Ozaukee
855,2017-01-29,2003,44.908963599,-91.37242701,Coyote,,Chippewa,2017,State Highway029
941,2017-01-28,300,44.224092658,-88.44561395,Coyote,,Winnebago,2017,US Highway010
1193,2017-02-01,1810,43.012622613,-88.75734272,Coyote,,Jefferson,2017,US Highway018
1282,2017-02-01,2024,43.745295325,-87.7440905,Coyote,,Sheboygan,2017,CTH TA - Sheboygan
1304,2017-02-02,1905,44.854597043,-91.43368796,Coyote,,Eau Claire,2017,US Highway053
1728,2017-02-13,452,45.009220647,-88.08681564,Coyote,,Oconto,2017,County HighwayM
1885,2017-02-18,1949,45.011531791,-87.3029694,Coyote,,Door,2017,State Highway042
2021,2017-02-21,818,44.921660081,-92.55847721,Coyote,,St. Croix,2017,State Highway065
2024,2017-02-22,633,44.716366089,-88.27523552,Coyote,,Shawano,2017,MIDDLE DR - Shawano
2151,2017-02-21,735,42.671855288,-90.47721761,Coyote,,Grant,2017,County HighwayD
2345,2017-02-15,1115,42.733218023,-90.37800598,Coyote,,Lafayette,2017,County HighwayXX
2655,2017-03-12,10,43.343058843,-88.2767531,Coyote,,Washington,2017,Interstate041
2797,2017-03-09,745,44.934999214,-92.29549403,Coyote,,St. Croix,2017,Interstate094
2809,2017-03-19,745,42.882023491,-90.98157937,Coyote,,Grant,2017,MAINE RD - Grant
2857,2017-03-19,2230,43.208655525,-89.21094996,Coyote,,Dane,2017,County HighwayN
2922,2017-03-18,2030,42.588209527,-90.5756972,Coyote,,Grant,2017,County HighwayH
3074,2017-03-26,2240,45.353135349,-89.66609547,Coyote,,Lincoln,2017,US Highway051
3078,2017-03-21,804,43.051985179,-88.04140241,Coyote,,Milwaukee,2017,Interstate041
3116,2017-03-28,616,43.674629535,-87.96865844,Coyote,,Sheboygan,2017,State Highway028
3783,2017-04-13,615,43.130724256,-88.73847932,Coyote,,Jefferson,2017,State Highway026
3914,2017-04-17,556,45.058236318,-89.64575658,Coyote,,Marathon,2017,US Highway051
4412,2017-04-23,324,43.137815026,-88.05996624,Coyote,,Milwaukee,2017,State Highway175
4817,2017-05-09,2000,43.648195544,-87.94146692,Coyote,,Sheboygan,2017,State Highway057
4831,2017-05-09,2315,45.047076199,-88.0445775,Coyote,,Marinette,2017,US Highway141
4934,2017-05-11,1035,44.056024396,-90.50530286,Coyote,,Monroe,2017,US Highway012
4958,2017-05-07,1330,43.023209795,-89.07219106,Coyote,,Dane,2017,US Highway012
5179,2017-05-15,713,43.726305691,-89.82440488,Coyote,,Adams,2017,State Highway013
5303,2017-05-14,2226,44.403292654,-89.22322147,Coyote,,Waupaca,2017,US Highway010
5507,2017-05-13,2330,43.233322719,-89.14673385,Coyote,,Dane,2017,TWIN LN - Dane
6376,2017-05-27,2215,44.19571822,-90.64610425,Coyote,,Jackson,2017,Interstate094
6618,2017-06-05,2120,43.333958598,-87.93189197,Coyote,,Ozaukee,2017,County HighwayV
6868,2017-06-08,2224,44.390909913,-89.19485957,Coyote,,Waupaca,2017,US Highway010
7716,2017-06-20,830,43.222345852,-88.15833096,Coyote,,Washington,2017,Interstate041
8200,2017-06-30,2232,42.627640819,-88.46911799,Coyote,,Walworth,2017,US Highway012
8584,2017-07-08,800,44.041012804,-89.00914013,Coyote,,Waushara,2017,State Highway021
8674,2017-07-10,2017,43.727491568,-89.01440811,Coyote,,Green Lake,2017,County HighwayH
8874,2017-07-08,628,42.72676733,-88.16277115,Coyote,,Racine,2017,County HighwayA
9348,2017-07-31,209,45.8527221,-91.85998082,Coyote,,Washburn,2017,US Highway053
