,CRSHDATE,CRSHTIME,LATDECDG,LONDECDG,ANMLTY01,ANMLTY07,countyname,year,Road
12354,2017-10-08,1550,42.547352219,-88.3396748,Opossum,,Walworth,2017,US Highway012
15907,2017-11-06,1900,44.977981992,-92.68906912,Opossum,,St. Croix,2017,County HighwayUU
22712,2018-02-18,2050,43.313642711,-87.92014947,Opossum,,Ozaukee,2018,Interstate043
25170,2018-04-21,50,44.546760145,-88.17023472,Opossum,,Brown,2018,N OVERLAND RD (1) - Brown
46154,2019-07-19,225,43.27733,-88.18994,Opossum,,Washington,2019,Interstate041
67312,2020-05-30,2325,42.74406,-89.08457,Opossum,,Rock,2020,N RIVER RD - Rock
74370,2020-11-03,2333,43.8327,-88.54211,Opossum,,Fond du Lac,2020,Interstate041
79733,2021-08-15,2317,43.72955,-89.91436,Opossum,,Juneau,2021,Interstate090
84925,2021-11-25,2130,43.93128,-88.48437,Opossum,,Winnebago,2021,US Highway045
92881,2021-09-26,2015,44.77382,-87.51305,Opossum,,Door,2021,State Highway057
93890,2021-09-27,129,42.54733,-88.33967,Opossum,,Walworth,2021,US Highway012
