,CRSHDATE,CRSHTIME,LATDECDG,LONDECDG,ANMLTY01,ANMLTY07,countyname,year,Road
12354,2017-10-08,1550,42.547352219,-88.3396748,Opossum,,Walworth,2017,US Highway012
15907,2017-11-06,1900,44.977981992,-92.68906912,Opossum,,St. Croix,2017,County HighwayUU
22712,2018-02-18,2050,43.313642711,-87.92014947,Opossum,,Ozaukee,2018,Interstate043
25170,2018-04-21,50,44.546760145,-88.17023472,Opossum,,Brown,2018,N OVERLAND RD (1) - Brown
46154,2019-07-19,225,43.277332973,-88.18994119,Opossum,,Washington,2019,Interstate041
67312,2020-05-30,2325,42.744058526,-89.08457013,Opossum,,Rock,2020,N RIVER RD - Rock
74370,2020-11-03,2333,43.832696603,-88.54211429,Opossum,,Fond du Lac,2020,Interstate041
78686,2021-08-15,2317,43.729545754,-89.9143593,Opossum,,Juneau,2021,Interstate090
81255,2021-11-25,2130,43.931283192,-88.48436814,Opossum,,Winnebago,2021,US Highway045
85168,2021-09-26,2015,44.773822957,-87.51305455,Opossum,,Door,2021,State Highway057
85666,2021-09-27,129,42.547327591,-88.33966843,Opossum,,Walworth,2021,US Highway012
96632,2022-03-02,2030,43.771012935,-88.17372169,Opossum,,Fond du Lac,2022,State Highway023
103466,2022-02-21,1915,43.25358028,-88.73295344,Opossum,,Dodge,2022,State Highway016
110047,2022-07-27,1947,43.632154853,-88.2545182,Opossum,,Fond du Lac,2022,TRIPLE S RD - Fond du Lac
110772,2022-10-23,630,42.842572011,-88.20399875,Opossum,,Racine,2022,COUNTY LINE RD - Racine
