,CRSHDATE,CRSHTIME,LATDECDG,LONDECDG,ANMLTY01,ANMLTY07,countyname,year,Road
143,2017-01-07,1458,43.423143034,-88.07170842,Turkey,,Washington,2017,State Highway033
2278,2017-02-28,655,44.036772251,-88.22113229,Turkey,,Calumet,2017,County HighwayF
2493,2017-03-07,1615,44.457830701,-88.19051356,Turkey,,Brown,2017,County HighwayU
2625,2017-03-09,1605,43.231715629,-89.15352499,Turkey,,Dane,2017,US Highway151
2627,2017-03-11,1350,45.658212026,-88.62292806,Turkey,,Forest,2017,US Highway008
2795,2017-03-06,700,44.95175182,-90.99312465,Turkey,,Chippewa,2017,State Highway029
2923,2017-03-06,1541,44.824366805,-89.06284545,Turkey,,Shawano,2017,State Highway029
2974,2017-03-22,1250,43.710493969,-88.36947219,Turkey,,Fond du Lac,2017,US Highway045
2983,2017-03-20,1854,43.295809287,-88.29505698,Turkey,,Washington,2017,County HighwayE
3019,2017-03-20,1740,43.320040545,-88.32444638,Turkey,,Washington,2017,State Highway060
3033,2017-03-24,744,42.963069519,-90.1035332,Turkey,,Iowa,2017,US Highway151
3058,2017-03-24,750,43.401106441,-89.77240242,Turkey,,Sauk,2017,US Highway012
3090,2017-03-23,931,43.458720232,-89.25692226,Turkey,,Columbia,2017,State Highway016
3100,2017-03-24,1852,44.959602518,-92.69456925,Turkey,,St. Croix,2017,State Highway035
3152,2017-03-28,1650,44.79548893,-89.67931495,Turkey,,Marathon,2017,Interstate039
3217,2017-03-29,1302,44.633484654,-87.7770318,Turkey,,Brown,2017,State Highway057
3263,2017-03-30,845,45.205544709,-92.55228425,Turkey,,St. Croix,2017,County HighwayM
3266,2017-03-29,1321,44.82172592,-88.04906773,Turkey,,Oconto,2017,US Highway141
3277,2017-03-29,744,43.010948181,-89.22982788,Turkey,,Dane,2017,Interstate039
3338,2017-03-23,1823,42.714554238,-89.94407461,Turkey,,Lafayette,2017,State Highway081
3395,2017-03-29,1630,43.14983302,-89.40068786,Turkey,,Dane,2017,State Highway113
3429,2017-04-01,715,44.945657565,-90.25333335,Turkey,,Marathon,2017,State Highway029
3433,2017-04-02,1313,44.397764039,-89.46368322,Turkey,,Portage,2017,State Highway054
3437,2017-04-01,1209,44.393633078,-87.5997331,Turkey,,Kewaunee,2017,County HighwayB
3465,2017-04-01,854,42.926444595,-88.91437557,Turkey,,Jefferson,2017,State Highway106
3520,2017-04-05,1120,43.683198139,-89.4697082,Turkey,,Marquette,2017,Interstate039
3526,2017-04-02,110,44.436112143,-88.10363507,Turkey,,Brown,2017,Interstate041
3534,2017-04-06,1215,44.416903796,-89.75579553,Turkey,,Wood,2017,State Highway054
3550,2017-04-04,1908,44.772770129,-91.32228948,Turkey,,Eau Claire,2017,US Highway012
3553,2017-04-06,808,44.32755642,-89.13870509,Turkey,,Waupaca,2017,State Highway022
3577,2017-04-07,1545,42.525386719,-90.58365058,Turkey,,Grant,2017,State Highway011
3583,2017-04-08,1715,44.545259069,-87.73126693,Turkey,,Kewaunee,2017,State Highway054
3594,2017-04-08,1846,45.085544064,-89.64186881,Turkey,,Marathon,2017,US Highway051
3620,2017-04-08,1906,43.586691523,-87.78825947,Turkey,,Sheboygan,2017,Interstate043
3627,2017-04-08,858,43.105139062,-88.2447689,Turkey,,Waukesha,2017,State Highway164
3701,2017-04-10,645,42.519590572,-90.59896291,Turkey,,Grant,2017,State Highway011
3710,2017-04-07,733,43.444608425,-88.67367099,Turkey,,Dodge,2017,State Highway033
3715,2017-04-10,1717,43.20770329,-89.3619608,Turkey,,Dane,2017,RIVER RD - Dane
3744,2017-04-12,735,44.944206863,-89.83727236,Turkey,,Marathon,2017,State Highway029
3747,2017-04-10,719,43.342313082,-88.61617696,Turkey,,Dodge,2017,State Highway060
3757,2017-04-12,1050,44.672659325,-87.73661156,Turkey,,Kewaunee,2017,State Highway057
3758,2017-04-12,800,44.551442293,-87.5021262,Turkey,,Kewaunee,2017,County HighwayD
3762,2017-04-10,645,44.11641666,-90.53386996,Turkey,,Monroe,2017,Interstate094
3773,2017-04-12,1837,45.184305957,-91.54516044,Turkey,,Chippewa,2017,US Highway053
